date , max_temp , min_temp , weather , wind_dir , wind_force
20110101,5,-1, 雨夹雪 , 无持续风向 , 微风
20110102,7,0, 多云 , 无持续风向~北风 , 微风
20110103,6,0, 雨夹雪 , 北风 , 微风
20110104,4,-2, 雨夹雪~阴 , 北风 , 微风
20110105,5,-1, 多云 , 北风 , 微风
20110106,6,0, 多云~晴 , 北风 , 微风
20110107,6,0, 阴 , 东北风 , 微风
20110108,4,-2, 雨夹雪 , 东北风 , 微风
20110109,4,-2, 雨夹雪 , 北风 , 4-5级
20110110,2,-1, 小雪 , 北风 , 微风
20110111,4,-2, 中雪~小雪 , 东北风~北风 , 3-4级~4-5级
20110112,5,0, 阴 , 北风 , 微风
20110113,6,-1, 多云 , 东北风 , 微风
20110114,4,-3, 多云~晴 , 北风~东风 , 微风
20110115,4,-2, 多云~阴 , 北风 , 3-4级
20110116,3,-2, 阴~雨夹雪 , 北风 , 微风
20110126,5,0, 阴~雨夹雪 , 东风 , 微风
20110129,4,-2, 多云 , 东北风 , 微风
20110130,5,-1, 多云~晴 , 东北风 , 微风
20110131,6,0, 晴~多云 , 北风 , 微风
20110201,9,1, 多云 , 北风 , 微风
20110202,11,3, 晴 , 南风 , 微风
20110203,15,3, 晴~多云 , 南风~东南风 , 微风
20110204,15,3, 晴~多云 , 无持续风向 , 微风
20110205,16,5, 多云~晴 , 东北风 , 微风
20110206,15,4, 阴~多云 , 南风 , 微风
20110207,19,6, 多云 , 无持续风向 , 微风
20110208,19,6, 多云 , 北风 , 微风
20110209,13,3, 阴~小雨 , 北风 , 5-6级~4-5级
20110210,5,0, 中雨~小雨 , 东北风 , 微风
20110211,5,-1, 多云 , 北风 , 微风
20110212,7,1, 多云~小雨 , 北风 , 微风
20110213,4,-1, 雨夹雪 , 东北风 , 微风
20110214,6,-2, 阴~多云 , 无持续风向 , 微风
20110215,7,1, 多云~阴 , 东北风 , 微风
20110216,6,2, 小雨 , 东风 , 微风
20110217,6,3, 小雨~阴 , 东北风 , 微风
20110218,7,3, 阴~小雨 , 北风 , 微风
20110219,8,2, 阴~多云 , 无持续风向 , 微风
20110220,11,2, 多云~晴 , 东北风 , 微风
20110221,13,4, 晴~多云 , 东北风 , 微风
20110222,15,6, 晴~多云 , 东风 , 微风
20110223,16,8, 多云 , 东南风 , 微风
20110224,21,8, 晴~多云 , 东风 , 微风
20110225,13,6, 阴~阵雨 , 东北风 , 微风
20110226,17,8, 多云~阴 , 无持续风向 , 微风
20110227,20,6, 多云~阵雨 , 南风~北风 , 微风
20110228,8,4, 小雨 , 北风 , 5-6级~4-5级
20110301,7,2, 阴~多云 , 北风 , 微风
20110302,9,1, 晴~多云 , 无持续风向 , 微风
20110303,9,1, 阴~多云 , 北风 , 微风
20110304,12,3, 晴~多云 , 北风 , 微风
20110305,14,4, 多云~小到中雨 , 东风 , 微风
20110306,9,4, 中雨~小雨 , 无持续风向 , 微风
20110307,11,3, 多云~晴 , 北风 , 微风
20110308,16,5, 晴~多云 , 无持续风向 , 微风
20110309,14,3, 多云 , 北风~南风 , 微风
20110310,18,6, 晴~多云 , 东北风 , 微风
20110311,16,7, 多云~阴 , 无持续风向 , 微风
20110312,20,9, 多云~阴 , 无持续风向 , 微风
20110313,22,8, 多云~阵雨 , 南风 , 3-4级
20110314,16,5, 小雨~小到中雨 , 北风 , 4-5级~5-6级
20110315,8,3, 小雨~阴 , 北风 , 5-6级~4-5级
20110316,14,5, 多云 , 北风 , 微风
20110317,17,6, 多云 , 无持续风向 , 微风
20110318,15,9, 阴~阵雨 , 南风 , 微风
20110319,16,11, 阵雨 , 南风 , 微风
20110320,16,7, 阵雨~中雨 , 东风~东北风 , 微风
20110321,8,3, 中雨~小雨 , 北风 , 5-6级~3-4级
20110322,7,3, 小雨~阴 , 无持续风向 , 微风
20110323,11,4, 多云 , 北风 , 微风
20110324,15,4, 多云 , 北风 , 微风
20110325,16,5, 晴~多云 , 北风 , 微风
20110326,16,6, 晴~多云 , 北风~南风 , 微风
20110327,17,6, 多云~晴 , 无持续风向 , 微风
20110328,19,7, 晴 , 南风 , 微风
20110329,17,7, 多云~晴 , 北风 , 微风
20110330,20,8, 晴~多云 , 东风 , 微风
20110331,22,11, 晴~多云 , 南风 , 微风
20110401,24,11, 多云 , 南风 , 微风
20110402,18,7, 阴~小雨 , 东风~东北风 , 微风~4-5级
20110403,8,5, 小雨~阴 , 东北风~北风 , 4-5级
20110404,15,6, 多云 , 北风 , 微风
20110405,17,9, 晴~多云 , 北风 , 微风
20110406,19,12, 多云~阵雨 , 无持续风向 , 微风
20110407,17,11, 阵雨 , 北风 , 微风
20110408,17,10, 阴 , 东风~南风 , 微风
20110409,22,15, 阴~阵雨 , 东南风 , 微风
20110410,22,16, 阴~小雨 , 东南风 , 微风
20110411,20,10, 多云~晴 , 北风 , 微风
20110412,22,12, 晴~多云 , 东风 , 微风
20110413,20,14, 阴~多云 , 南风 , 微风
20110414,27,16, 阴~阵雨 , 南风 , 微风
20110415,26,16, 雷阵雨~中到大雨 , 南风~北风 , 3-4级~4-5级
20110416,18,10, 小雨~阴 , 北风~东北风 , 4-5级
20110417,22,12, 多云~晴 , 东北风 , 微风
20110418,21,10, 晴 , 北风 , 4-5级~微风
20110419,21,12, 晴 , 北风~南风 , 微风
20110420,24,12, 晴~多云 , 北风~南风 , 微风
20110421,23,16, 多云~阵雨 , 东南风~北风 , 3-4级~4-5级
20110422,21,13, 小雨~多云 , 北风 , 4-5级~微风
20110423,25,15, 晴~多云 , 南风 , 微风
20110424,25,15, 晴 , 东北风~南风 , 微风
20110425,30,16, 晴~多云 , 南风 , 微风
20110426,34,19, 晴~阵雨 , 西南风 , 4-5级
20110427,27,15, 多云 , 北风 , 微风
20110428,27,15, 晴~多云 , 东南风~南风 , 微风
20110429,33,20, 多云~阴 , 南风 , 微风
20110430,28,16, 阵雨 , 南风~北风 , 3-4级~4-5级
20110501,27,16, 阵雨~多云 , 东北风 , 3-4级
20110502,26,16, 多云~大雨 , 东风 , 微风
20110503,17,12, 阴 , 东北风 , 3-4级~微风
20110504,17,12, 阴~多云 , 东风 , 微风
20110505,25,16, 多云 , 南风 , 微风
20110506,29,19, 阴~多云 , 东南风 , 微风
20110507,33,21, 晴 , 西南风 , 4-5级~3-4级
20110508,35,23, 晴~多云 , 西南风 , 4-5级
20110509,33,23, 阴~多云 , 南风 , 微风
20110510,35,23, 多云~雷阵雨 , 南风 , 微风
20110511,26,20, 阵雨~阴 , 北风 , 微风
20110512,26,18, 阴~多云 , 北风 , 微风
20110513,28,20, 多云~晴 , 北风~南风 , 微风
20110514,28,20, 多云~阴 , 南风 , 微风
20110515,26,18, 多云~阵雨 , 南风 , 微风
20110516,28,18, 多云 , 南风 , 微风
20110517,31,18, 多云~晴 , 南风 , 微风
20110518,32,20, 晴 , 无持续风向 , 微风
20110519,35,23, 晴 , 南风 , 微风
20110520,36,22, 晴~多云 , 南风 , 微风
20110521,28,18, 阵雨 , 北风 , 3-4级
20110522,20,16, 阵雨~小到中雨 , 无持续风向 , 微风
20110523,17,15, 小雨~阴 , 东北风 , 微风
20110524,21,16, 阴 , 东北风 , 微风
20110525,23,18, 阴 , 北风 , 微风
20110526,28,18, 多云 , 北风 , 微风
20110527,28,18, 多云 , 北风 , 微风
20110528,25,17, 阴~多云 , 东北风 , 微风
20110529,27,20, 晴~多云 , 东北风~东风 , 微风
20110530,32,22, 多云 , 南风 , 微风
20110531,30,22, 多云~阵雨 , 南风~北风 , 微风
20110601,28,21, 阴~多云 , 东北风 , 微风
20110602,31,21, 多云~阵雨 , 南风 , 微风
20110603,29,22, 阴~阵雨 , 南风 , 微风
20110604,23,21, 中到大雨~大到暴雨 , 南风 , 微风
20110605,23,21, 阵雨~中雨 , 北风 , 微风
20110606,23,21, 大到暴雨~中到大雨 , 东北风 , 微风
20110607,27,22, 阵雨~多云 , 东北风 , 微风
20110608,33,24, 多云 , 南风 , 微风
20110609,35,25, 多云~阵雨 , 南风 , 微风
20110610,28,24, 中到大雨 , 南风 , 微风
20110611,23,21, 大到暴雨~中到大雨 , 东北风 , 微风
20110612,28,22, 阵雨~阴 , 东北风 , 微风
20110613,28,23, 阵雨 , 无持续风向 , 微风
20110614,23,21, 大雨~大到暴雨 , 南风 , 微风
20110615,24,20, 大到暴雨~中雨 , 东北风 , 微风
20110616,26,22, 阵雨~阴 , 北风 , 微风
20110617,28,23, 雷阵雨~大到暴雨 , 南风 , 微风
20110618,29,22, 大雨~大到暴雨 , 南风~北风 , 微风
20110619,24,21, 阵雨 , 东风~东南风 , 微风
20110620,29,23, 阴 , 东风 , 微风
20110621,32,24, 雷阵雨~多云 , 东风 , 微风
20110622,34,24, 多云 , 南风 , 微风
20110623,36,26, 多云 , 南风 , 微风
20110624,34,26, 雷阵雨 , 东南风 , 微风
20110625,31,24, 中到大雨~阵雨 , 东北风 , 3-4级
20110626,31,23, 多云 , 西北风~西风 , 3-4级~微风
20110627,33,24, 晴~多云 , 南风 , 微风
20110628,34,25, 雷阵雨 , 东南风 , 3-4级
20110629,33,25, 雷阵雨 , 南风 , 微风
20110630,34,26, 雷阵雨~多云 , 西南风 , 微风
20110701,32,25, 阵雨~多云 , 南风 , 3-4级
20110702,36,27, 晴~多云 , 西南风 , 微风
20110703,37,28, 晴~多云 , 西南风 , 3-4级
20110704,36,28, 雷阵雨~多云 , 南风 , 微风
20110705,37,27, 雷阵雨~多云 , 南风 , 微风
20110706,36,27, 多云 , 南风 , 3-4级
20110707,36,27, 多云 , 南风 , 微风
20110708,34,27, 雷阵雨~阵雨 , 南风 , 微风
20110709,32,26, 雷阵雨 , 东北风 , 微风
20110710,34,26, 雷阵雨~阴 , 东南风 , 3-4级
20110711,33,26, 多云 , 东南风~南风 , 3-4级~微风
20110712,33,25, 雷阵雨 , 南风 , 微风
20110713,32,25, 小到中雨~雷阵雨 , 南风 , 微风
20110714,32,26, 雷阵雨 , 东南风~北风 , 3-4级
20110715,33,26, 多云~阴 , 南风 , 微风
20110716,33,26, 雷阵雨~多云 , 东南风 , 3-4级
20110717,33,25, 雷阵雨~多云 , 南风 , 微风
20110718,33,26, 阵雨~雷阵雨 , 东南风 , 微风
20110719,30,25, 中雨~阵雨 , 东北风 , 3-4级
20110720,33,26, 多云 , 南风 , 微风
20110721,34,26, 雷阵雨~多云 , 南风 , 微风
20110722,35,27, 多云~晴 , 南风 , 微风
20110723,35,27, 雷阵雨~多云 , 东南风 , 微风
20110724,36,27, 雷阵雨~多云 , 东风 , 微风
20110725,38,27, 多云 , 南风 , 3-4级
20110726,38,28, 多云 , 南风 , 微风
20110727,38,28, 晴~多云 , 南风 , 3-4级
20110728,37,28, 晴~多云 , 南风 , 3-4级
20110729,36,28, 晴~多云 , 东南风 , 微风
20110730,36,28, 晴~多云 , 南风 , 3-4级
20110731,37,27, 多云 , 东南风 , 3-4级
20110801,34,26, 雷阵雨 , 东南风 , 3-4级
20110802,34,26, 雷阵雨~多云 , 东南风 , 微风~3-4级
20110803,34,26, 雷阵雨 , 东南风 , 微风
20110804,34,25, 雷阵雨~多云 , 东北风 , 微风
20110805,32,25, 雷阵雨~阵雨 , 东北风 , 3-4级
20110806,33,24, 小到中雨~大到暴雨 , 东北风~东风 , 4-5级~6-7级
20110807,33,25, 多云 , 西北风~西风 , 4-5级~3-4级
20110808,35,26, 雷阵雨~多云 , 西南风 , 3-4级~微风
20110809,34,26, 雷阵雨~多云 , 南风 , 微风
20110810,36,26, 多云 , 南风 , 微风
20110811,35,25, 雷阵雨 , 南风 , 3-4级
20110812,30,26, 中到大雨~雷阵雨 , 西南风 , 3-4级
20110813,34,26, 雷阵雨~多云 , 南风 , 3-4级
20110814,36,26, 雷阵雨~多云 , 西南风~南风 , 微风
20110815,35,27, 多云 , 南风 , 微风
20110816,37,27, 多云 , 西南风 , 3-4级
20110817,36,28, 多云 , 西南风 , 3-4级
20110818,35,28, 多云 , 南风 , 微风~3-4级
20110819,35,27, 多云 , 南风 , 微风~3-4级
20110820,37,27, 多云 , 南风 , 微风
20110821,34,26, 雷阵雨 , 东北风 , 微风
20110822,32,24, 中雨~中到大雨 , 东北风 , 微风
20110823,29,22, 中雨 , 北风~东北风 , 微风
20110824,27,23, 中到大雨~阵雨 , 东北风 , 3-4级~微风
20110825,27,22, 阵雨 , 东北风 , 微风
20110826,30,24, 阵雨~雷阵雨 , 东北风 , 微风
20110827,31,24, 阵雨 , 东北风 , 3-4级
20110828,32,25, 雷阵雨~多云 , 东南风 , 微风
20110829,31,24, 雷阵雨~阵雨 , 东风 , 3-4级~微风
20110830,30,25, 大到暴雨~中雨 , 东北风 , 微风
20110831,30,25, 阵雨~阴 , 东北风 , 4-5级
20110901,31,24, 多云 , 东北风 , 3-4级
20110902,31,24, 多云 , 东北风 , 微风
20110903,32,24, 晴~多云 , 东北风 , 3-4级~微风
20110904,31,23, 晴~多云 , 北风 , 微风
20110905,32,23, 晴~多云 , 东北风 , 微风
20110906,30,22, 多云 , 北风 , 微风
20110907,31,23, 多云~阴 , 东风 , 微风
20110908,31,23, 雷阵雨~阵雨 , 南风 , 微风
20110909,27,23, 阵雨 , 东北风 , 微风
20110910,26,22, 阵雨~阴 , 东北风 , 微风
20110911,28,23, 多云 , 东风 , 3-4级
20110912,31,24, 多云 , 东风 , 微风
20110913,33,24, 多云~晴 , 东南风 , 微风
20110914,34,25, 晴~多云 , 东南风 , 微风
20110915,34,24, 晴~多云 , 东南风 , 微风
20110916,34,24, 多云 , 东南风~东北风 , 微风
20110917,33,22, 多云~阵雨 , 东北风 , 微风~3-4级
20110918,25,19, 小雨~阴 , 西北风 , 4-5级~3-4级
20110919,24,18, 多云~阴 , 北风 , 4-5级~微风
20110920,22,16, 阴 , 西北风 , 4-5级~3-4级
20110921,23,15, 多云 , 东北风 , 微风
20110922,25,16, 多云 , 北风 , 微风
20110923,26,17, 多云 , 东北风 , 微风
20110924,26,18, 晴~多云 , 东北风 , 微风
20110925,27,21, 小雨 , 东北风 , 微风
20110926,25,22, 阵雨 , 东北风 , 微风
20110927,25,22, 小雨 , 东风 , 微风
20110928,28,23, 多云~阴 , 东风~东南风 , 微风
20110929,28,19, 中雨~中到大雨 , 北风 , 微风~4-5级
20110930,20,18, 中到大雨~小雨 , 北风~东北风 , 4-5级~3-4级
20111001,21,17, 小雨 , 东北风 , 3-4级
20111002,20,17, 小雨 , 东北风 , 微风
20111003,20,16, 阴 , 东北风 , 3-4级
20111004,21,16, 阴 , 东北风 , 微风
20111005,20,16, 阴~多云 , 北风 , 微风
20111006,25,17, 多云 , 东风 , 微风
20111007,25,16, 多云 , 北风 , 微风
20111008,26,17, 晴 , 东风 , 微风
20111009,27,17, 晴~多云 , 东南风 , 微风
20111010,25,20, 小雨~阴 , 东北风 , 微风
20111011,24,19, 小雨~阴 , 东北风 , 微风
20111012,24,19, 阴~阵雨 , 东南风 , 微风
20111013,23,15, 中到大雨~中雨 , 北风 , 3-4级
20111014,23,15, 阴~多云 , 北风 , 微风
20111015,24,13, 多云 , 西北风 , 微风
20111016,25,15, 晴 , 北风 , 微风
20111017,26,15, 晴 , 东北风 , 微风
20111018,24,15, 晴~多云 , 东北风 , 微风
20111019,23,16, 多云 , 东北风 , 3-4级
20111020,22,17, 小雨 , 东北风 , 微风
20111021,24,17, 阴~多云 , 东北风 , 微风
20111022,25,16, 晴~多云 , 东北风 , 微风
20111023,25,17, 多云~阵雨 , 东南风 , 微风
20111024,21,13, 中到大雨~小雨 , 北风~东北风 , 3-4级~微风
20111025,17,12, 阴~多云 , 北风 , 3-4级~微风
20111026,19,12, 多云 , 东北风 , 微风
20111027,21,16, 多云~阴 , 东北风 , 微风
20111028,20,15, 小雨 , 东北风 , 微风
20111029,20,16, 小雨~阴 , 东风 , 微风
20111030,21,15, 阴~多云 , 东北风 , 微风
20111031,24,16, 多云 , 东风 , 微风
20111101,24,16, 多云 , 东北风 , 微风
20111102,23,18, 阵雨 , 东风~东北风 , 微风
20111103,21,17, 阵雨 , 东北风 , 微风
20111104,23,19, 阵雨 , 东北风 , 微风
20111105,22,18, 小到中雨~小雨 , 东风 , 微风
20111106,24,18, 阴 , 北风 , 微风
20111107,19,14, 阴~小雨 , 北风 , 微风
20111108,17,12, 小雨 , 北风 , 微风
20111109,15,12, 小到中雨~小雨 , 北风 , 微风
20111110,15,10, 小雨~多云 , 西北风~北风 , 微风
20111111,17,9, 多云~晴 , 北风 , 微风
20111112,21,10, 晴 , 东南风 , 微风
20111113,20,11, 多云~阴 , 东风 , 微风
20111114,20,13, 多云 , 东北风~东风 , 微风
20111115,20,13, 多云 , 东风 , 微风
20111116,22,15, 多云~阴 , 东南风 , 微风
20111117,24,18, 多云~阴 , 东南风 , 微风
20111118,23,12, 中雨 , 东南风~北风 , 微风
20111119,16,10, 小雨~阴 , 北风 , 3-4级
20111120,15,8, 多云~晴 , 北风 , 3-4级~微风
20111121,17,9, 晴~多云 , 东北风 , 微风
20111122,17,8, 多云~晴 , 北风 , 微风~3-4级
20111123,16,6, 晴 , 北风 , 微风
20111124,16,6, 晴 , 北风~东南风 , 微风
20111125,17,9, 晴 , 南风 , 微风
20111126,21,11, 晴~多云 , 南风 , 微风
20111127,23,12, 晴~多云 , 南风 , 微风
20111128,23,13, 多云~阴 , 东风~东北风 , 微风
20111129,23,12, 阴~小雨 , 东风~北风 , 微风
20111130,17,6, 小雨~小到中雨 , 北风 , 5-6级
20111201,8,2, 阴 , 西北风 , 4-5级
20111202,8,2, 多云 , 西北风 , 3-4级~微风
20111203,12,4, 晴~多云 , 北风 , 微风
20111204,13,5, 晴~多云 , 东北风~东风 , 微风
20111205,14,8, 多云~阴 , 东风 , 微风
20111206,16,10, 阴~小雨 , 东南风 , 微风
20111207,14,6, 中雨~小雨 , 东北风 , 3-4级~4-5级
20111208,7,2, 小雨~阴 , 北风 , 4-5级~3-4级
20111209,7,0, 多云 , 北风 , 3-4级
20111210,7,-1, 晴 , 东北风 , 微风
20111211,8,0, 晴 , 北风 , 微风
20111212,10,3, 多云 , 北风~东北风 , 微风
20111213,12,4, 多云 , 东北风 , 微风
20111214,12,4, 多云~阴 , 北风 , 微风
20111215,8,2, 小雨~阴 , 北风 , 3-4级
20111216,7,-1, 晴 , 北风~东北风 , 微风
20111217,7,0, 晴~多云 , 北风~东北风 , 微风
20111218,8,2, 多云 , 北风 , 微风
20111219,10,4, 多云 , 北风 , 微风
20111220,11,4, 小雨 , 东风 , 微风
20111221,8,1, 小雨~阴 , 北风 , 3-4级~4-5级
20111222,6,-1, 阴~多云 , 北风 , 3-4级~微风
20111223,8,-2, 晴 , 北风 , 微风
20111224,8,-1, 晴 , 东北风 , 3-4级
20111225,9,1, 晴 , 北风 , 微风
20111226,11,3, 多云 , 东风 , 微风
20111227,10,5, 多云~阴 , 东风~东北风 , 微风
20111228,12,6, 阴 , 东风 , 微风
20111229,10,5, 阴~多云 , 无持续风向 , 微风
20111230,9,3, 多云 , 北风 , 微风
20111231,10,3, 多云 , 东北风 , 微风
20120101,10,2, 晴~多云 , 东北风 , 微风
20120102,9,4, 多云 , 东北风~北风 , 微风
20120103,7,0, 阴 , 北风 , 微风
20120104,4,-1, 多云 , 无持续风向 , 微风
20120105,5,0, 阴~小雨 , 东风 , 微风
20120106,5,2, 阴 , 北风 , 微风
20120107,7,3, 多云~阴 , 东北风 , 微风
20120108,7,4, 小雨~阴 , 东风 , 微风
20120109,6,4, 阴 , 东北风 , 微风
20120110,7,4, 阴 , 东北风 , 微风
20120111,8,4, 阴 , 北风 , 微风
20120112,7,3, 多云~阴 , 东北风 , 微风
20120113,9,5, 小雨 , 东风 , 微风
20120114,8,4, 中到大雨 , 东北风 , 微风
20120116,6,3, 小雨~阴 , 东北风 , 微风
20120117,8,5, 多云~小雨 , 东北风 , 微风
20120118,7,5, 小到中雨~中雨 , 东北风 , 微风
20120119,8,5, 小雨 , 东北风 , 微风
20120120,7,1, 阴~小雨 , 北风 , 微风~3-4级
20120121,5,-1, 雨夹雪~中到大雪 , 北风 , 3-4级
20120122,2,-2, 小雪~多云 , 北风 , 3-4级
20120123,3,-2, 多云 , 北风 , 微风
20120124,3,-2, 多云~阴 , 无持续风向 , 微风
20120125,4,-1, 晴~多云 , 北风 , 微风
20120126,7,-1, 多云 , 东南风 , 微风
20120127,7,2, 小雨 , 东北风 , 微风
20120128,6,3, 小雨 , 北风 , 微风
20120129,6,3, 小雨 , 北风 , 微风
20120130,6,2, 小雨~阴 , 东北风 , 微风
20120131,8,1, 多云 , 东北风 , 微风
20120201,7,1, 阴 , 北风 , 3-4级
20120202,5,1, 阴~多云 , 北风 , 3-4级
20120203,6,1, 晴~多云 , 北风 , 微风
20120204,9,4, 多云~小雨 , 东北风 , 微风
20120205,10,4, 阴~中雨 , 东风 , 微风
20120206,7,0, 中到大雨~小到中雨 , 北风 , 4-5级
20120207,4,-2, 阴~多云 , 北风 , 4-5级~微风
20120208,5,-1, 晴~多云 , 北风 , 微风
20120209,5,2, 多云~小雨 , 东风 , 微风
20120210,4,1, 雨夹雪~小雨 , 无持续风向 , 微风
20120211,7,2, 阴~小雨 , 北风 , 微风
20120212,8,4, 小雨 , 东北风 , 微风
20120213,10,5, 小雨 , 东风 , 微风
20120214,7,4, 小雨~中雨 , 东北风 , 微风
20120215,5,2, 小雨 , 北风 , 4-5级
20120216,5,1, 小雨~阴 , 东北风 , 微风
20120217,8,1, 阴~多云 , 北风 , 微风
20120218,7,0, 多云 , 北风 , 微风
20120219,8,1, 晴~多云 , 东风 , 微风
20120220,10,5, 多云~小雨 , 东北风 , 微风
20120221,12,6, 小雨~小到中雨 , 东北风 , 微风
20120222,13,8, 中到大雨 , 东风 , 微风
20120223,11,6, 小到中雨~小雨 , 东北风 , 微风
20120224,6,2, 阴 , 东北风 , 微风
20120225,5,2, 小雨~阴 , 东北风 , 3-4级
20120226,4,0, 阴 , 北风 , 微风
20120227,6,2, 小雨 , 北风 , 微风
20120228,5,2, 雨夹雪~阴 , 东北风~东南风 , 3-4级
20120229,9,6, 小雨 , 东风 , 微风
20120301,9,6, 小雨~中雨 , 东风 , 微风
20120302,8,4, 中到大雨~大雨 , 东风 , 微风
20120303,8,6, 中雨 , 东北风 , 微风
20120304,9,6, 大雨 , 东北风 , 微风
20120305,8,5, 中雨~小雨 , 北风~东北风 , 微风
20120306,12,6, 阴~小到中雨 , 东北风 , 微风
20120307,7,5, 中雨 , 东北风 , 微风
20120308,6,3, 中雨~小到中雨 , 东北风 , 微风
20120309,6,2, 小雨~阴 , 东北风 , 微风
20120310,9,3, 多云 , 东北风 , 微风
20120311,9,1, 多云 , 东风 , 微风
20120312,12,4, 晴~多云 , 东北风 , 微风
20120313,13,5, 多云 , 东风 , 微风
20120314,16,7, 多云~阵雨 , 东南风 , 微风
20120315,15,8, 阵雨~小到中雨 , 东南风~南风 , 微风
20120316,20,11, 多云 , 东风 , 微风
20120317,17,8, 阵雨~小到中雨 , 无持续风向 , 微风
20120318,12,8, 阴~阵雨 , 东北风 , 微风
20120319,10,8, 小到中雨~小雨 , 东北风 , 微风
20120320,10,6, 小雨~阴 , 东北风~东南风 , 微风
20120321,15,9, 多云 , 东北风 , 微风
20120322,22,8, 阵雨~大雨 , 东南风~北风 , 微风~4-5级
20120323,14,5, 小到中雨~多云 , 北风 , 4-5级
20120324,17,5, 晴 , 北风 , 微风
20120325,21,10, 晴 , 西南风 , 微风
20120326,23,10, 晴 , 南风 , 微风
20120327,23,10, 晴 , 东风 , 微风
20120328,26,13, 晴~多云 , 东风~南风 , 微风
20120329,22,11, 阵雨 , 东风 , 微风
20120330,16,8, 大雨~小雨 , 北风 , 4-5级~5-6级
20120331,19,7, 多云 , 北风 , 微风
20120412,19,13, 大雨转小雨 , 东风 , 小于3级
20120413,22,13, 阴转阵雨 , 东南风 , 小于3级
20120414,20,13, 阵雨 , 东南风 , 小于3级
20120415,22,12, 阵雨转多云 , 东北风 , 小于3级
20120416,24,13, 多云转阴 , 东风 , 小于3级
20120417,20,14, 阵雨转中雨 , 东风 , 小于3级
20120418,22,13, 阵雨转小到中雨 , 南风 , 小于3级
20120419,25,15, 多云转阵雨 , 北风 , 小于3级
20120420,27,16, 雷阵雨转中到大雨 , 西南风 , 3-4级
20120421,28,13, 多云转晴 , 西北风 , 小于3级
20120422,29,16, 晴转多云 , 西风 , 小于3级
20120423,29,18, 多云转雷阵雨 , 东南风 , 4-5级转3-4级
20120424,23,17, 暴雨转小雨 , 南风 , 3-4级转4-5级
20120425,27,16, 多云转晴 , 西北风 , 小于3级
20120426,29,15, 晴转多云 , 东风 , 小于3级
20120427,29,16, 多云转雷阵雨 , 南风 , 小于3级
20120428,25,19, 中雨 , 东风 , 小于3级
20120429,25,18, 阵雨转雷阵雨 , 西南风 , 小于3级
20120430,22,18, 暴雨转大雨 , 东风 , 小于3级
20120501,26,17, 阴转多云 , 北风 , 小于3级
20120502,28,17, 多云 , 西北风 , 3-4级转小于3级
20120503,25,18, 阵雨转多云 , 北风 , 小于3级
20120504,31,19, 多云转晴 , 东风 , 小于3级
20120505,33,20, 晴 , 南风 , 小于3级
20120506,33,20, 晴转多云 , 西南风 , 小于3级
20120507,28,20, 大雨 , 北风 , 3-4级
20120508,28,19, 多云 , 西北风 , 小于3级
20120509,27,17, 多云 , 东北风 , 小于3级
20120510,28,17, 多云转晴 , 东风 , 小于3级
20120511,30,18, 多云转阴 , 东风 , 小于3级
20120512,24,20, 暴雨 , 南风 , 3-4级
20120513,23,19, 阴转中雨 , 东风 , 小于3级
20120514,27,18, 阵雨转多云 , 西北风 , 小于3级
20120515,28,17, 多云 , 南风 , 小于3级
